Player,X,Y,Command,Left,Right,Up,Down,A,B,Y_btn,L,R
0,205,192,-,0,1,0,0,0,0,0,0,0
0,205,192,!>,0,1,0,0,0,0,0,0,0
0,205,192,v+>,0,0,0,0,0,0,0,0,0
0,205,192,-,0,1,0,1,0,0,0,0,0
0,205,192,!v+!>,0,1,0,1,0,0,0,0,0
0,205,192,v,0,0,0,0,0,0,0,0,0
0,205,192,-,0,0,0,1,0,0,0,0,0
0,205,192,!v,0,0,0,1,0,0,0,0,0
0,205,192,v+<,0,0,0,0,0,0,0,0,0
0,205,192,-,1,0,0,1,0,0,0,0,0
0,205,192,!v+!<,1,0,0,1,0,0,0,0,0
0,205,192,<+Y,0,0,0,0,0,0,0,0,0
0,205,192,-,1,0,0,0,0,0,1,0,0
0,205,192,!<+!Y,1,0,0,0,0,0,1,0,0
0,205,192,None,0,0,0,0,0,0,0,0,0
0,205,192,-,0,1,0,0,0,0,0,0,0
0,205,192,!>,0,1,0,0,0,0,0,0,0
0,205,192,v+>,0,0,0,0,0,0,0,0,0
0,205,192,-,0,1,0,1,0,0,0,0,0
0,205,192,!v+!>,0,1,0,1,0,0,0,0,0
0,205,192,v,0,0,0,0,0,0,0,0,0
0,205,192,-,0,0,0,1,0,0,0,0,0
0,205,192,!v,0,0,0,1,0,0,0,0,0
0,205,192,v+<,0,0,0,0,0,0,0,0,0
0,205,192,-,1,0,0,1,0,0,0,0,0
0,205,192,!v+!<,1,0,0,1,0,0,0,0,0
0,205,192,<+Y,0,0,0,0,0,0,0,0,0
0,205,192,-,1,0,0,0,0,0,1,0,0
0,205,192,!<+!Y,1,0,0,0,0,0,1,0,0
0,205,192,None,0,0,0,0,0,0,0,0,0
0,205,192,>+^+B,0,1,1,0,0,1,0,0,0
0,205,192,!>+!^+!B,0,1,1,0,0,1,0,0,0
0,205,192,None,0,0,0,0,0,0,0,0,0
0,205,192,-,1,0,0,0,0,0,0,0,0
0,205,192,!<,1,0,0,0,0,0,0,0,0
0,223,192,v+<,0,0,0,0,0,0,0,0,0
0,223,192,-,1,0,0,1,0,0,0,0,0
0,205,192,!v+!<,1,0,0,1,0,0,0,0,0
0,205,192,v,0,0,0,0,0,0,0,0,0
0,205,192,-,0,0,0,1,0,0,0,0,0
0,205,192,!v,0,0,0,1,0,0,0,0,0
0,205,192,v+>,0,0,0,0,0,0,0,0,0
0,205,192,-,0,1,0,1,0,0,0,0,0
0,220,192,!v+!>,0,1,0,1,0,0,0,0,0
0,220,192,>+Y,0,0,0,0,0,0,0,0,0
0,207,187,-,0,1,0,0,0,0,1,0,0
0,207,187,!>+!Y,0,1,0,0,0,0,1,0,0
0,209,183,None,0,0,0,0,0,0,0,0,0
0,212,176,>+^+B,0,1,1,0,0,1,0,0,0
0,212,176,!>+!^+!B,0,1,1,0,0,1,0,0,0
0,213,173,None,0,0,0,0,0,0,0,0,0
0,215,168,>+^+B,0,1,1,0,0,1,0,0,0
0,215,168,!>+!^+!B,0,1,1,0,0,1,0,0,0
0,215,166,None,0,0,0,0,0,0,0,0,0
0,215,164,>+^+B,0,1,1,0,0,1,0,0,0
0,215,164,!>+!^+!B,0,1,1,0,0,1,0,0,0
0,230,163,None,0,0,0,0,0,0,0,0,0
0,230,161,-,1,0,0,0,0,0,0,0,0
0,230,161,!<,1,0,0,0,0,0,0,0,0
0,215,161,v+<,0,0,0,0,0,0,0,0,0
0,215,161,-,1,0,0,1,0,0,0,0,0
0,215,160,!v+!<,1,0,0,1,0,0,0,0,0
0,215,160,v,0,0,0,0,0,0,0,0,0
0,215,161,-,0,0,0,1,0,0,0,0,0
0,215,161,!v,0,0,0,1,0,0,0,0,0
0,215,161,v+>,0,0,0,0,0,0,0,0,0
0,215,161,-,0,1,0,1,0,0,0,0,0
0,215,162,!v+!>,0,1,0,1,0,0,0,0,0
0,215,162,>+Y,0,0,0,0,0,0,0,0,0
0,215,163,-,0,1,0,0,0,0,1,0,0
0,215,163,!>+!Y,0,1,0,0,0,0,1,0,0
0,215,165,None,0,0,0,0,0,0,0,0,0
0,215,169,-,1,0,0,0,0,0,0,0,0
0,215,169,!<,1,0,0,0,0,0,0,0,0
0,215,172,v+<,0,0,0,0,0,0,0,0,0
0,215,172,-,1,0,0,1,0,0,0,0,0
0,215,174,!v+!<,1,0,0,1,0,0,0,0,0
0,215,174,v,0,0,0,0,0,0,0,0,0
0,215,174,-,0,0,0,1,0,0,0,0,0
0,215,174,!v,0,0,0,1,0,0,0,0,0
0,215,181,v+>,0,0,0,0,0,0,0,0,0
0,215,181,-,0,1,0,1,0,0,0,0,0
0,215,185,!v+!>,0,1,0,1,0,0,0,0,0
0,215,185,>+Y,0,0,0,0,0,0,0,0,0
0,215,189,-,0,1,0,0,0,0,1,0,0
0,215,189,!>+!Y,0,1,0,0,0,0,1,0,0
0,215,192,None,0,0,0,0,0,0,0,0,0
0,215,192,-,1,0,0,0,0,0,0,0,0
0,215,192,!<,1,0,0,0,0,0,0,0,0
0,215,192,v+<,0,0,0,0,0,0,0,0,0
0,215,192,-,1,0,0,1,0,0,0,0,0
0,215,192,!v+!<,1,0,0,1,0,0,0,0,0
0,215,192,v,0,0,0,0,0,0,0,0,0
0,215,192,-,0,0,0,1,0,0,0,0,0
0,215,192,!v,0,0,0,1,0,0,0,0,0
0,215,192,v+>,0,0,0,0,0,0,0,0,0
0,215,192,-,0,1,0,1,0,0,0,0,0
0,215,192,!v+!>,0,1,0,1,0,0,0,0,0
0,215,192,>+Y,0,0,0,0,0,0,0,0,0
